0,1,2,3,4,fold
0.06602887,0.022425435,0.005766991,0.0015100435,0.9042686,1
0.11241006,0.83241063,0.0010041798,0.0008711113,0.053303964,1
0.59588015,0.011125822,0.33124632,0.024356106,0.03739158,1
4.716162e-05,6.194007e-05,0.00022120035,0.00020248214,0.9994672,1
0.0010834455,0.0022289408,0.0012613576,0.0006775934,0.99474865,1
0.00084642146,0.0004151941,0.00094959105,0.0010838213,0.996705,1
0.17716734,0.008900857,0.008512669,0.008175951,0.7972432,1
0.00046691424,0.000183044,0.00033943963,0.00038436468,0.99862623,1
0.22131532,0.43437436,0.05271215,0.01772658,0.27387163,1
0.01866147,0.42978182,0.01863341,0.0072836913,0.52563953,1
0.00035762208,8.46016e-05,0.00074641465,0.00057658297,0.99823475,1
0.0019647127,0.770792,0.0027063845,0.000706043,0.22383088,1
0.10177271,0.6502112,0.010259641,0.0069203167,0.23083612,1
0.0027944362,0.0003691635,0.002229715,0.0020706921,0.99253607,1
0.008316594,0.83056486,0.0026571774,0.0016898683,0.15677154,1
0.0016172895,0.00022808295,0.0005203875,0.00051581266,0.9971185,1
0.029471079,0.9096809,0.0033305697,0.0018809385,0.055636443,1
0.021753691,0.8976685,0.031029982,0.007851459,0.041696284,1
0.009893095,0.002932154,0.0048197787,0.0044346233,0.9779204,1
0.011458596,0.21180509,0.014458525,0.0060709375,0.75620687,1
0.005582988,0.015029883,0.0023607404,0.0021457153,0.97488064,1
0.05258038,0.9233175,0.0066778357,0.014823652,0.0026006456,1
0.0072985655,0.08284795,0.0036787991,0.0032284912,0.9029461,1
0.021583712,0.9518482,0.0015370168,0.0022332186,0.022797814,1
0.029870704,0.017897855,0.036004666,0.016418189,0.89980865,1
0.13272738,0.10297054,0.011035074,0.0047124955,0.7485545,1
0.00321973,0.060081657,0.0016317,0.0012549047,0.933812,1
0.071119,0.07092935,0.0008067809,0.00036435938,0.8567805,1
0.2457318,0.28442246,0.082425185,0.02451745,0.36290315,1
0.001935214,0.0008905656,0.00026878112,0.0003235025,0.996582,1
0.31357884,0.43861517,0.13530517,0.034165386,0.07833546,1
0.029857699,0.33185083,0.0057005803,0.0015857832,0.63100517,1
0.024098141,0.14242306,0.0070395875,0.004216442,0.82222277,1
0.00049465266,0.00026649123,0.000158708,0.00020289849,0.9988772,1
0.0010639364,0.004344026,0.0006480813,0.0004532953,0.9934907,1
0.0018696047,8.2825965e-05,0.00027687204,0.0003417989,0.99742883,1
0.013980841,0.45127603,0.010607417,0.007114484,0.5170212,1
0.0010782155,0.043588772,0.0010113643,0.00042596107,0.9538956,1
0.0146811055,0.8400217,0.08640991,0.04784444,0.011042877,1
0.007753746,0.97436935,0.0012588927,0.000632296,0.015985645,1
0.0007152924,1.2213582e-05,4.4382537e-05,3.1182673e-05,0.99919695,1
0.092315435,0.43092608,0.28751138,0.086748235,0.10249881,1
0.023706408,0.012032842,0.082761146,0.023445565,0.8580541,1
0.049740124,0.9336573,0.0043635927,0.008866745,0.0033722913,1
0.01883088,0.009728642,0.0057571954,0.0067255786,0.9589577,1
0.00044137918,0.0019736027,0.00084796373,0.0003352396,0.9964018,1
0.7588904,0.017842855,0.0040637325,0.0032468438,0.21595614,1
0.7645449,0.020461785,0.007677005,0.008284064,0.1990323,1
0.0031386858,0.03110327,0.00053868693,0.00045400028,0.96476537,1
0.012424494,0.004715455,0.0014039986,0.0020268413,0.9794292,1
0.56821,0.050392587,0.012837741,0.005546918,0.36301273,1
0.049238317,0.16185093,0.012448064,0.013540876,0.76292187,1
0.023615042,0.24051459,0.21554951,0.34258166,0.17773925,1
0.08820642,0.0058920067,0.009257364,0.0038280778,0.89281607,1
0.94908756,0.022483729,0.010032673,0.017480817,0.0009151411,1
0.0020812235,0.20477046,0.0008052705,0.00020053658,0.79214245,1
0.0065390533,7.471156e-05,0.00093728025,0.00053743715,0.9919116,1
