Feature,Importance
Mode_with_NoLicense_Public_transport__e_g__S_Bahn__Bus__Regional_train_,0.1
Mode_withLicense_0,0.0
Mode_with_NoLicense_0,0.0
Mode_withLicense_Other,0.0
Access_PrivateCar_0,0.0
Mode_with_NoLicense_Ride_hailing__e_g__Taxi__Uber__FreeNow_,0.0
Reason_Other,0.0
Reason_Medical_travel,0.0
CompanyCar_Yes__I_have_a_company_car__but_I_can_t_use_it_privately,0.0
Car_Sharing_Provider_0,0.0
PT_Subscription_Airport_No__but_my_employer_covers_the_extra_cost,0.0
PT_Subscription_Airport_0,0.0
Physical_Disabilities_I_prefer_not_to_answer,0.0
Live_I_prefer_not_to_answer,0.0
Education_Not_finished_school,0.0
Education_I_prefer_not_to_answer,0.0
Availability_Car,0.0
Employment_Unemployed,0.0
Employment_I_prefer_not_to_answer,0.0
WaitingTime_Car,0.0
Employment_Other,0.0
Availability_PublicTransport,0.0
