0,1,2,3,4,fold
0.10720374,0.10254907,0.09780598,0.09496965,0.5974716,1
0.18687281,0.2612416,0.11285375,0.11633232,0.32269955,1
0.25949502,0.18111289,0.29791924,0.11888183,0.14259106,1
0.0950212,0.09619532,0.0931384,0.09352672,0.62211835,1
0.0968137,0.09712789,0.09540189,0.09574617,0.6149103,1
0.13636339,0.10130869,0.08828011,0.09069551,0.58335227,1
0.18461585,0.13802302,0.108253606,0.109243244,0.45986423,1
0.09491454,0.096038714,0.0930421,0.093367375,0.6226373,1
0.27363166,0.26636413,0.14074904,0.13601778,0.18323736,1
0.14256863,0.42112264,0.1174464,0.11817216,0.20069017,1
0.09443628,0.095456034,0.09322833,0.093564756,0.6233146,1
0.08283157,0.2500654,0.08283451,0.08099693,0.5032716,1
0.15819247,0.42880273,0.104007386,0.10029208,0.20870534,1
0.12987107,0.09954654,0.09025006,0.0921276,0.58820474,1
0.17530006,0.37575352,0.15384984,0.117637515,0.1774591,1
0.09358173,0.095206186,0.093391374,0.09378074,0.62403995,1
0.14488684,0.42451215,0.117948286,0.11897986,0.19367285,1
0.08197794,0.3221202,0.08461066,0.079775,0.43151623,1
0.10529024,0.11518897,0.09494024,0.09347451,0.59110606,1
0.09968307,0.10708745,0.10044323,0.096275,0.59651124,1
0.15165305,0.26889077,0.1000628,0.10261297,0.37678036,1
0.24454719,0.3275517,0.12686737,0.13470289,0.16633087,1
0.10984363,0.10176022,0.09640167,0.11184365,0.5801508,1
0.21105108,0.32096168,0.12582442,0.12710993,0.21505292,1
0.19546147,0.14817655,0.11122983,0.11754261,0.42758957,1
0.120298274,0.10345735,0.09962036,0.09621367,0.58041036,1
0.102570154,0.10071673,0.098886795,0.09924365,0.5985827,1
0.15928285,0.2999599,0.10910653,0.1122133,0.3194374,1
0.098129265,0.18612294,0.08971478,0.08908469,0.5369483,1
0.10582063,0.09751944,0.09428953,0.09462979,0.60774064,1
0.10508805,0.19454144,0.09554238,0.09277599,0.5120521,1
0.098919444,0.10145966,0.09990575,0.09607657,0.6036385,1
0.09679704,0.10719187,0.09585935,0.09677464,0.6033771,1
0.09347142,0.09381266,0.09328129,0.09613016,0.6233044,1
0.15255475,0.10751459,0.10108055,0.10170518,0.53714496,1
0.10052594,0.09563045,0.09420594,0.094545886,0.61509174,1
0.11196839,0.10807473,0.10492941,0.10088957,0.57413787,1
0.09903814,0.10162733,0.097281605,0.09549969,0.6065532,1
0.23655584,0.3559617,0.12007811,0.11662227,0.17078207,1
0.084705696,0.31023034,0.08716847,0.08130293,0.43659258,1
0.09363261,0.095295265,0.093265764,0.09360232,0.62420404,1
0.28762612,0.24513195,0.21641392,0.10287257,0.14795546,1
0.107745685,0.0990684,0.094526276,0.094844185,0.60381544,1
0.32436034,0.22333027,0.108458094,0.16932173,0.17452955,1
