Feature,Importance
Education_University or university of applied sciences (Master’s or PhD degree),0.0
Education_Other,0.0
Education_Not finished school,0.0
Education_I prefer not to answer,0.0
Adult_household_4 or more,0.0
Adult_household_I prefer not to answer,0.0
Child_Household_I prefer not to answer,0.0
Employment_Retired,0.0
Availability_Car,0.0
WaitingTime_Car,0.0
Employment_Housewife or househusband,0.0
Employment_I prefer not to answer,0.0
"Employment_Pupil, student or apprentice/intern",0.0
Employment_Other,0.0
Employment_Unemployed,0.0
Availability_PublicTransport,0.0
