feature,importance
Current_Travel_Very dissatisfied,0.0016401531309492591
Car_vs_Plane_Strongly agree,0.0016237062361103185
Employment_Retired,0.0016142738939100988
Used_DAS_Neutral,0.0016136360591017466
Car_vs_Plane_Agree,0.0014247927234381482
Share_UAMRide_Disagree,0.0013789191396987983
HowOften_airport_1 time per month,0.0012767479984877666
CompanyCar_No,0.0012762684738822508
Elect_vs_convo_Strongly disagree,0.0012751578019577303
Current_Travel_Very satisfied,0.0012672698712959292
Safety_AutonomousCar_Strongly agree,0.001254493391213288
"Employment_Pupil, student or apprentice/intern",0.0012519879628819146
Flight_Safety_Disagree,0.0012443589184767334
Safety_Plane_Disagree,0.0011904828100980892
Child_Household_3,0.001177616829036525
HowOften_airport_Once per week or more often,0.0011416803857747378
HowOften_airport_2 times per month,0.001046054399775433
Driving_License_Yes,0.0010249014563083014
Access_PrivateCar_0,0.0010012050818943375
Mode_withLicense_0,0.00098980916291976
Car_Sharing_Provider_0,0.0009888473575120956
Driving_License_No,0.0009091499859037449
ConnectedVeh_Strongly disagree,0.0009062408492447549
Mode_with_NoLicense_0,0.0008372305178088069
"PT_Subscription_Airport_No, but my employer covers the extra cost",0.000718279393242956
"Mode_withLicense_Ride-hailing (e.g. Taxi, Uber, FreeNow)",0.0007079210562223222
Adult_household_I prefer not to answer,0.0006870188347212794
Education_Other,0.0006718421627472276
Safety_Plane_Strongly disagree,0.000554242987161953
Employment_Housewife or househusband,0.0005542416819629855
"Mode_with_NoLicense_Public Transport (e.g. S-Bahn, Bus, Regional train)",0.0005510729823546364
"Mode_with_NoLicense_Public transport (e.g. S-Bahn, Bus, Regional train)",0.0005178900264232386
Employment_Other,0.0004519450832321352
Physical_Disabilities_I prefer not to answer,0.0003282886939482301
Flight_Safety_Strongly disagree,0.00032756897283375803
Mode_withLicense_Other,0.0003250343328074239
Live_I prefer not to answer,0.00031966377031425675
Employment_I prefer not to answer,0.0002550520401036761
Reason_Other,0.00024599133212275235
Mode_with_NoLicense_Car as passenger,0.00017580551605027303
"CompanyCar_Yes, I have a company car, but I can't use it privately",0.0001734320305605528
Education_I prefer not to answer,0.0001454573909128053
"Mode_with_NoLicense_Ride-hailing (e.g. Taxi, Uber, FreeNow)",0.00014526630205027305
Reason_Medical travel,4.9002584769646486e-05
Employment_Unemployed,4.7389588789569444e-05
Education_Not finished school,3.1339448127901485e-05
WaitingTime_Car,0.0
Availability_Car,0.0
Availability_PublicTransport,0.0
