feature,importance
veh_time,0.16668779
household car_0,0.16172752
household car_2,0.10824059
monthly income,0.10314624
age,0.09991667
driving license_No,0.09967038
employment_Working full-time,0.089101925
household car_1,0.08727041
"employment_Pupil, student or apprentice/intern",0.07322746
employment_Unemployed,0.011010994
household car_3,0.0
driving license_Yes,0.0
gender_female,0.0
gender_male,0.0
