Feature,Importance
"Employment_Pupil, student or apprentice/intern",0.0028058735
UAM_Noise_Disagree,0.0027579055
Education_I prefer not to answer,0.0027319316
Physical_Disabilities_Yes,0.002667348
HowOften_airport_1 time per month,0.002643173
familiar_ElectricVeh_Disagree,0.0026257588
Current_Travel_Very satisfied,0.0023979794
Safety_Plane_Disagree,0.0022787324
PT_Subscription_Airport_0,0.0021469877
ConnectedVeh_Disagree,0.002106208
Share_UAMRide_Disagree,0.0019011203
WaitingTime_CarSharing,0.001885529
Flight_Safety_Strongly disagree,0.0018822893
HowOften_airport_6 times per year,0.0017425036
Availability_CarSharing,0.0016951005
Elect_vs_convo_Strongly disagree,0.0016263358
Physical_Disabilities_I prefer not to answer,0.0014170014
Employment_Other,0.0012577409
Employment_Housewife or househusband,0.0012147671
Mode_withLicense_Other,0.0011149303
"CompanyCar_Yes, I have a company car, but I can't use it privately",0.000985718
Live_I prefer not to answer,0.0009813125
Education_Other,0.00090700947
Mode_with_NoLicense_Car as passenger,0.00090203976
"Mode_with_NoLicense_Ride-hailing (e.g. Taxi, Uber, FreeNow)",0.00073245494
Education_Not finished school,0.0003949877
Reason_Medical travel,0.0
Car_Sharing_Provider_0,0.0
Access_PrivateCar_0,0.0
Employment_Unemployed,0.0
Availability_Car,0.0
WaitingTime_Car,0.0
Employment_I prefer not to answer,0.0
Availability_PublicTransport,0.0
